Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
066570,KR7066570003,LG전자,KOSPI,,93900,2,-400,-0.42,94800,94900,93000,475361,44595283050,15295031739300,162886387,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,475000,1,4000,0.85,482500,490000,470000,92306,44037245000,14250000000000,30000000,STK
086280,KR7086280005,현대글로비스,KOSPI,,179800,1,1800,1.01,180900,180900,177900,108241,19426362950,13485000000000,75000000,STK
030200,KR7030200000,KT,KOSPI,,53100,2,-700,-1.3,53600,54000,53000,330653,17702235685,13382351473500,252021685,STK
086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,98000,1,1200,1.24,97700,100000,96000,2277043,223425703100,13306062896000,135776152,KSQ
352820,KR7352820005,하이브,KOSPI,,309000,2,-4500,-1.44,315500,316000,308500,168520,52249366250,13151642241000,42561949,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,169900,2,-1900,-1.11,173100,173100,167400,152243,25753359800,13146488220000,77377800,STK
006800,KR7006800007,미래에셋증권,KOSPI,,23000,1,300,1.32,22950,23950,22650,8545616,199729526575,13042971882000,567085734,STK
000150,KR7000150003,두산,KOSPI,,793000,1,33000,4.34,785000,799000,784000,102464,81092336500,12841711155000,16193835,STK
003550,KR7003550001,LG,KOSPI,,82800,1,1100,1.35,82400,82800,81800,146480,12056390250,12769547238000,154221585,STK
042700,KR7042700005,한미반도체,KOSPI,,127000,1,10600,9.11,118500,127600,118300,2469789,307210254100,12104649400000,95312200,STK
259960,KR7259960003,크래프톤,KOSPI,,247000,3,0,0.0,249000,250000,246000,55852,13821337750,11708289307000,47401981,STK
017670,KR7017670001,SK텔레콤,KOSPI,,53200,2,-300,-0.56,52600,53200,52400,683774,36108471450,11426830819600,214790053,STK
047810,KR7047810007,한국항공우주,KOSPI,,113000,1,4200,3.86,109500,113500,109000,825942,91940611850,11014687091000,97475107,STK
272210,KR7272210006,한화시스템,KOSPI,,56800,1,2500,4.6,55300,57600,54000,4190615,236479888350,10730621295200,188919389,STK
323410,KR7323410001,카카오뱅크,KOSPI,,21950,1,200,0.92,21850,22000,21750,558827,12234961825,10469940092150,476990437,STK
298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,185400,2,-5000,-2.63,193900,194100,182300,874214,162570342550,10220205591000,55125165,KSQ
326030,KR7326030004,SK바이오팜,KOSPI,,129000,1,100,0.08,131000,131700,127900,154461,19908235750,10102409250000,78313250,STK
003230,KR7003230000,삼양식품,KOSPI,,1284000,1,32000,2.56,1255000,1289000,1242000,50385,64142209000,9672391260000,7533015,STK
010950,KR7010950004,S-Oil,KOSPI,,84000,1,2500,3.07,82700,84800,81500,216226,18124257900,9456954528000,112582792,STK
000100,KR7000100008,유한양행,KOSPI,,116000,2,-400,-0.34,116800,117000,115600,225703,26213877850,9276338692000,79968437,STK
079550,KR7079550000,LIG넥스원,KOSPI,,418000,1,2000,0.48,425000,427000,413000,112073,46782839750,9196000000000,22000000,STK
277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,472500,1,22000,4.88,451500,479500,447000,254746,119357774500,9166432905000,19399858,KSQ
278470,KR7278470000,에이피알,KOSPI,,244000,1,1000,0.41,246500,247500,240500,242519,59001835250,9133079820000,37430655,STK
007660,KR7007660004,이수페타시스,KOSPI,,122600,1,1200,0.99,124900,128800,121400,1400026,173566153300,8999970249400,73409219,STK
005830,KR7005830005,DB손해보험,KOSPI,,126600,1,2900,2.34,125100,127600,124200,148229,18737818304,8963280000000,70800000,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,50900,1,600,1.19,50700,51300,50400,206704,10504180150,8954469909200,175922788,STK
071050,KR7071050009,한국금융지주,KOSPI,,159500,2,-3200,-1.97,163100,164100,158600,206076,33025405150,8888295724000,55725992,STK
443060,KR7443060009,HD현대마린솔루션,KOSPI,,196400,1,1800,0.92,198000,201500,195300,66989,13253899250,8804456844000,44829210,STK
003490,KR7003490000,대한항공,KOSPI,,22950,1,350,1.55,22800,23050,22600,2746424,62649016000,8450664169950,368220661,STK
307950,KR7307950006,현대오토에버,KOSPI,,307000,1,2000,0.66,298000,321500,290000,667938,204751780750,8419162474000,27423982,STK
039490,KR7039490008,키움증권,KOSPI,,296500,3,0,0.0,298000,299000,293000,70496,20919148000,7923773926000,26724364,STK
000720,KR7000720003,현대건설,KOSPI,,71100,1,1700,2.45,70500,71800,70300,1083046,76929552550,7917394891500,111355765,STK
180640,KR7180640005,한진칼,KOSPI,,118200,1,4200,3.68,115200,119200,114800,77766,9065305050,7891301377800,66762279,STK
005940,KR7005940002,NH투자증권,KOSPI,,21250,1,250,1.19,21100,21500,21050,531886,11311350425,7572317841250,356344369,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,60600,2,-600,-0.98,62400,62500,60000,212603,12902584650,7506829181400,123875069,STK
005387,KR7005382007,현대차2우B,KOSPI,,208500,1,500,0.24,210000,210000,205000,72746,15053113500,7289979405000,34963930,STK
090430,KR7090430000,아모레퍼시픽,KOSPI,,121900,1,700,0.58,122000,122300,121200,109240,13296537250,7130267322100,58492759,STK
016360,KR7016360000,삼성증권,KOSPI,,79600,1,700,0.89,79900,80400,79000,267953,21313191900,7108280000000,89300000,STK
011070,KR7011070000,LG이노텍,KOSPI,,280500,2,-500,-0.18,284500,285000,275000,97108,27010455250,6638623513500,23667107,STK
032640,KR7032640005,LG유플러스,KOSPI,,15290,1,160,1.06,15160,15350,15060,667157,10171045565,6572075547950,429828355,STK
377300,KR7377300009,카카오페이,KOSPI,,47850,1,1950,4.25,46050,48050,45800,434889,20701758450,6466673895000,135144700,STK
